"Section","Topic / Item","Description","Action / Link"
"SHEET OVERVIEW","3_2_Definition_FOMP","Purpose: Configure First-Order Mass Pool models. Key Fields: FOMP_Parameter_ID, FOMP_Parameter_Value","=HYPERLINK(""#'3_2_Definition_FOMP'!A1"",""Go to Sheet →"")"
"CORE CONCEPTS","Process","A 'box' in your model that does something. It can be a physical place (a factory), a transformation (composting), or a boundary (the atmosphere).","Example: 'P01_Forest', 'P02_Sawmill'"
"CORE CONCEPTS","Flow","The movement of material or elements from one process to another.","Example: 'F_01_02' (Timber from Forest to Sawmill)"
"CORE CONCEPTS","Process_Logic","The most important setting for a process. It tells the tool how that process behaves (e.g., as a simple splitter, a stock, or a complex transformation).","Example: 'Splitter_Material' logic splits a flow but keeps composition."
"CORE CONCEPTS","Transfer Coefficient (TC)","A number (usually 0-1) that defines 'how much' of a flow goes from one process to another. It controls the path of your materials.","Example: A TC of 0.8 means 80% of a flow goes to a specific output."
"CORE CONCEPTS","Static vs. Dynamic TCs","'Static' TCs split the entire material flow. 'Dynamic' TCs split each element (Carbon, Water) separately, allowing composition to change.","Use 'Static' for sorting. Use 'Dynamic' for composting."
"CORE CONCEPTS","DSM & FOMP","Advanced models for processes that have a stock that changes over time. DSM uses lifetime distributions, while FOMP uses decay rates.","Use DSM for infrastructure. Use FOMP for soil carbon."
"TROUBLESHOOTING","MFA calculation fails","The sum of outgoing TCs for a process likely does not equal 1 (or 100%). Check the TCs for every process to ensure the balance is correct.","Location: Sheets 2_2_static_TCs & 2_3_dynamic_TCs"
"TROUBLESHOOTING","Process or flow missing from results","The 'Process_Logic' may be incorrect, or a Flow_ID may be inconsistent across sheets. Verify names and logic settings.","Location: Sheet 2_1_Definition_Processes"
"TROUBLESHOOTING","Excel errors like #VALUE!","A cell expecting a number may contain text, or a percentage was entered incorrectly. Percentages should be decimals (e.g., 0.5 for 50%).","Tip: Check number formatting in cells."
"BEST PRACTICES","Start Small","Build a simple model with only a few processes first. Once that works, gradually add more detail. This makes it much easier to find errors.","Benefit: Easier debugging."
"BEST PRACTICES","Use Descriptive Names","Give clear, descriptive names to processes and flows (e.g., 'Waste_Incineration' instead of 'P05'). Your model will be easier to understand.","Benefit: Improved clarity."
"BEST PRACTICES","Check Your Units","Ensure you are using consistent units (e.g., tonnes, kg) for all flows throughout the entire workbook. Mixing units is a common source of error.","Benefit: Accurate calculations."
"BEST PRACTRACTICES","Save Iterations","Save different versions of your file as you make major changes (e.g., 'my_model_v1.xlsm'). If you make a mistake, you can easily go back.","Benefit: Easy recovery from mistakes."
